Scheme_Name,URL,State,Ministry,Details,Benefits,Eligibility,Application_Process,Documents_Required,Search_Keywords,is_student,is_disabled,is_female,is_male,is_transgender,is_girl_child,is_sc_st,is_obc,is_bpl,is_farmer,is_unemployed,is_self_employed,is_salaried_employee,is_daily_wage_worker,is_job_seeker,is_worker,is_labour,is_school_student,is_college_student,has_graduated,is_dropout,is_rural_resident,is_urban_resident,is_migrant_worker,is_single_woman,has_large_family,belongs_to_minority,has_bank_account,no_asset_ownership,receives_pension,has_chronic_illness,is_maternal_beneficiary,is_widow,is_senior_citizen,is_orphan,is_child_of_single_parent,is_woman_headed_household,has_disabled_family_member,lives_in_slum,is_homeless,has_no_house,has_pukka_house,has_kutcha_house,is_tribal,belongs_to_fisherfolk,belongs_to_weaver_community,is_ex_serviceman,is_person_with_hiv,is_victim_of_abuse,is_first_generation_learner,has_family_member_in_govt_service,receives_existing_govt_benefits,annual_income,min_age,max_age,max_income
Construction of Dudhghar/ Godown (Scheduled Caste Area),https://www.myscheme.gov.in/schemes/cdgsca,Gujarat,,"The scheme ""Construction of Dudhghar/ Godown (Scheduled Caste Area)"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial support to Village Milk Producer Co-operative Societies in Scheduled Caste areas that lack their own milk storage or cattle feed storage infrastructure. It also promotes installation of bulk milk coolers and similar equipment.","Name of the ComponentStandard of assistanceRemarksMinimum Time Limit (in Years) for Reclaiming BenefitsDudhghar/ GodownUnit price (Rs10,00,000/-)or actual expenditure occurs for construction, out of that 50% of whichever is less.Maximum Rs5,00,000/-Once in lifetime",The Society must not already own a Dudhghar or Godown.The Society must have its own land available for the construction of the Dudhghar or Godown.The Society must not have availed of the benefit earlier under this or any other scheme for a similar purpose.,"OnlineStep 1: The applicant may visit and apply online at I-Khedut Portal: https://ikhedut.gujarat.gov.in/Step 2: On the home page, click on 'Schemes' and then click on 'Animal Husbandry Schemes'.Step 3: Now select the scheme, click on the 'Apply' button and an application page will open.Step 4: Click on ""Apply New"" button and submit a new application.Step 5: Click on the ""Update Application"" button to add corrections to the application.Step 6: Once the application is done, confirm it.Step 7: Take a print out of the confirmed application.Step 8: Applicant can also check their Application Status/View/Print/Upload Application details from the below link: https://ikhedut.gujarat.gov.in/public/frm_Applicant_Corner.aspx Contact Us: Click here.Note: Required Documents can also be submitted in hard copies to the office mentioned in the application form within 7 days.",Copy of Bank Passbook or cancelled cheque.Proof of own land for construction of Dudhghar/Godown.Certificate of not availing benefit earlier in same scheme/other scheme with similar purpose by Managing Director of Dairy Union.,"Construction of Dudhghar/ Godown (Scheduled Caste Area), cdgsca, Animal Husbandry, Cattle Feed Storage, Dairy Development, Godown Construction, SC, Scheduled Caste, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,False,,,,,,,,,,,True,,,,
Scheme of Assistance for Management of Stray Cattle,https://www.myscheme.gov.in/schemes/samsc,Gujarat,,"The ""Scheme of Assistance for Management of Stray Cattle"" is designed to support Panjrapoles (animal shelters) registered under the Public Charity Act in their efforts to manage and maintain stray cattle. Each eligible shelter receives a one-time maintenance assistance for stray cattle to ensure proper care, control, and management of these animals.",ComponentName Support Standard	Minimum Time Limit (in Years) for Reclaiming Constituent BenefitsManagement of stray cattle	Rs4000/- maintenance assistance will be payable once for each stray cattle1 year,The Panjrapole (animal shelter) must be registered under the Charity Act.The Panjrapole must accept and maintain stray cattle in their facility.,"OnlineStep 1: The applicant may visit and apply online at I-Khedut Portal: https://ikhedut.gujarat.gov.in/Step 2: On the home page, click on 'Schemes' and then click on 'Animal Husbandry Schemes'.Step 3: Now select the scheme, click on the 'Apply' button and an application page will open.Step 4: Click on ""Apply New"" button and submit a new application.Step 5: Click on the ""Update Application"" button to add corrections to the application.Step 6: Once the application is done, confirm it.Step 7: Take a print out of the online application and submit it to the board within 30 days of application with the signature and stamp of the local Veterinary Officer with the necessary documents listed in the application.Step 8: Applicant can also check their Application Status/View/Print/Upload Application details from the below link: https://ikhedut.gujarat.gov.in/public/frm_Applicant_Corner.aspx Contact Us: Click here.",Registration certificate under the Public Charity Act.Signature/ stamp of the local veterinary officer.Any other documents as required.,"Scheme of Assistance for Management of Stray Cattle, samsc, Agriculture, Animal Husbandry, Stray Cattle, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Family Benefit Scheme (Maharashtra),https://www.myscheme.gov.in/schemes/nfbsm,Maharashtra,,"The scheme ""National Family Benefit Scheme (Maharashtra)"" is a social welfare scheme by the Social Justice & Special Assistance Department, Government of Maharashtra. Under this scheme, in the event of the death of the primary breadwinner of a BPL family, the family is provided with a one-time lump sum financial assistance of Rs20,000/-.","Financial assistance of Rs20,000/-.",The applicant should be a resident of Maharashtra.The applicant should be a family member or dependent of the deceased breadwinner (an earning member of the family on whom the family primarily depended for income).The family should be living Below the Poverty Line (BPL).The deceased should have been between 18 and 59 years old.,"OfflineStep 1: The interested applicant should visit (during office hours) the Collector Office/Tahsildar/Talathi of your district, and request the hard copy of the prescribed format of the application form from the concerned authority.Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority.Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).NOTE: Ensure that the application is submitted within the prescribed period, if any.","Identity Proof of the Applicant I.e. Aadhaar Card, Voter ID CardIdentity Proof of the Deceased Person i.e. Aadhaar CardDeath Certificate of the Deceased PersonFIR CopyProof of Age of the Deceased PersonBelow Poverty Line (BPL) Card/ Ration CardCaste Certificate (if Applicable)Address ProofBank Passbook/Bank Account DetailsAny Other Documents as Required","National Family Benefit Scheme (Maharashtra), nfbsm, Below Poverty Line, BPL, Death, Family, Pension, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,59.0,
Mukhyamantri Rajya Bridhhabasta Pension Yojana,https://www.myscheme.gov.in/schemes/mrbpy,Jharkhand,,"Launched by the Department of Women, Child Development & Social Security, Government of Jharkhand, ""Mukhyamantri Rajya Bridhhabasta Pension Yojana"" aims to provide financial support to the senior citizens of Jharkhand who do not have any stable source of income or their  income is not enough to support them or is insufficient. It is a Direct Benefit Transfer (DBT) scheme, so the pension amount will be directly transferred to the bank account of the beneficiary.","Amount: Rs 1,000/- per month to the eligible beneficiary.",The applicant should be a permanent resident of Jharkhand.The applicant should have attained the age of 60 years or more.The applicant should have a Voter ID card and Aadhar Card.The applicant should not be a beneficiary under any other Social Security pension scheme.The applicant or their spouse should not be a Retired or permanently employed in Central and State Government or in public sector undertakings.The applicant or their spouse should not be a recipient of Government pension or pension from Central and State Government or from public sector undertakings.Applicant's family is not an income tax payee.,"OfflineStep 01: The interested applicant should request the prescribed format of the application from the office of Block Development Officer (BDO) / Sub Divisional Officer (SDO) / Circle OfficerStep 02: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required).Step 03: Submit the duly filled and signed application form along with the documents to the concerned authority at:Office of the BDO in rural areas.Office of the SDO or Circle Officer in Municipalities and notified areas.","Copy of Voter ID card (in case, applicants age is 18 years or more).Copy Aadhar Card (in case the applicant does not have an Aadhar Card they need to submit a Self-declaration for not having the same).Copy of Bank Passbook.Self-declaration regarding the eligibility.Age Proof.","Mukhyamantri Rajya Bridhhabasta Pension Yojana, mrbpy, Direct Benefit Transfer, Old Age, Pension, Senior Citizen, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,True,,,,,,,,,,,,,,,,,False,False,,60.0,,
Special Financial Assistance Scheme for Meritorious Students of the State for Preparation of Competitive Examinations,https://www.myscheme.gov.in/schemes/sfasmsspce,Uttarakhand,,"The scheme 'Special Financial Assistance Scheme for Meritorious Students of the State for Preparation of Competitive Examinations' was introduced by the Higher Education Department, Government of Uttarakhand. The scheme aims to provide financial support to meritorious students who have cleared the preliminary examination conducted by the State or Union Public Service Commission for Group 'A' and 'B' services, or the written examination for the Armed Forces (e.g., NDA, CDS, OTA, Indian Naval Academy, Indian Air Force Academy, etc.). Under this scheme, a one-time grant of Rs50,000/- is provided to each eligible candidate to assist in their preparation for the next stage.","A one-time grant of Rs50,000/- per candidate is provided to support their preparation for the next stages of the examinations.","The applicant should be a native or permanent resident of Uttarakhand.The total family income should not exceed Rs5,00,000/- per annum from all sources.The applicant should have completed graduation/post-graduation from recognized institution (regular/open) located in Uttarakhand.The applicant should have passed the minimum eligibility criteria for these examinations.The applicant should not have availed benefits from any similar scheme of the state or central government.The applicant or their spouse should not be engaged in any job, business, or profession.The applicant should have passed:Preliminary exam of Group 'A' or 'B' conducted by the Uttarakhand Public Service Commission (UKPSC) (Top 100 candidates)Preliminary/written exam of Group 'A' or 'B' conducted by the Union Public Service Commission (UPSC)Written exams for Armed Forces: NDA, CDS, OTA, Indian Naval Academy, Indian Air Force Academy, etc.","OfflineStep 1: The eligible applicants should visit (during office hours) the Directorate of Higher Education, Haldwani, and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications.ORThe interested applicant downloads the application form from the official website. Step 2: In the application form, fill in all the mandatory fields and attach copies of all the mandatory documents (self-attested, if required).Step 3: Submit the duly filled and signed application form along with the documents to the Directorate of Higher Education, Haldwani. Note: The application must be submitted within 3 months of result declaration.","Aadhaar CardPAN CardBank Account Passbook (Aadhaar-linked)Permanent Residence CertificateIncome CertificateEducational Certificates (High School, Intermediate, Graduation, Post-Graduation or equivalent)Result and Admit Card of Preliminary Exam passed (UKPSC/UPSC)Certificate and Admit Card of the Written Exam passed (In case of Armed Forces)","Special Financial Assistance Scheme for Meritorious Students of the State for Preparation of Competitive Examinations, sfasmsspce, Armed Forces Examination, Competitive Examination, Financial Assistance, Meritorious Student, UPSC, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,True,False,False,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,500000.0
ICSSR Doctoral Fellowship,https://www.myscheme.gov.in/schemes/doctoral-fellowship,All India,Ministry of Education,"The Fellowship is aimed at promoting original, socially relevant, and policy-focused research in the social sciences. The fellowship provides financial support through a monthly grant of Rs20,000 and an annual contingency grant of Rs20,000 for up to two years, with an initial award period of one year, which is renewed for the second year subject to fulfilment of requisite criteria. It also offers institutional and short-term fellowships including a six-month short term fellowship for scholars nearing Ph.D. submission (minimum three years of completed PhD research) and a standalone contingency grant of Rs62,500 for specific research needs. Applications are invited through ICSSR's website and social media platforms. Fellows are expected to pursue full-time research, submit regular progress reports, and provide a final submission that includes published work, a book-length thesis, and audited financial records.  Given India's social science ecosystem, it seeks to promote research excellence, evidence-based research, and scholarship that is also relevant to policymakers.","1)	Monthly Fellowship amount @ Rs.20,000 per month2)	Contingency Grant @ Rs.20,000 per annum","1)	Applicant must be an Indian citizen.2)	Must be a full-time bonafide Ph.D. scholar in a social science discipline in a UGC-recognized university, deemed-to-be university, institute of national importance, ICSSR Research Institute, or college with approved Ph.D. programme.3)	The Ph.D. topic must have been confirmed by the DRC/authorised statutory body of the institution on or before the last date of call for applications.4)	Age must be below 40 years as on the last date of application.5)	Age relaxation of 5 years allowed for SC/ST/OBC-(NCL) candidates and Persons with Benchmark Disabilities (PwD).6)	Must have secured a minimum of 55% marks in post-graduation, with 5% relaxation for reserved categories (SC/ST/OBC-(NCL)/PwD).",OnlineStep 01: Visit ICSSR website - www.icssr.org - and navigate to Fellowships section.Step 02: Click on Doctoral Fellowship Scheme.Step 03: Register/Login to the ICSSR portal.Step 04: Fill the online application form.Step 05: Upload documents and submit.,The list of documents required will be given in the Application Form when the Call is announced.,"ICSSR Doctoral Fellowship, doctoral-fellowship, Doctoral Fellowship, ICSSR Fellowships, PhD, Research Scholars, Social Science Research, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",True,True,,,,,True,True,,,,,,,,,,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,
"Award Scheme for Candidates Selected in NDA, IMA, OTA, INA, IAF",https://www.myscheme.gov.in/schemes/ascs,Uttarakhand,,"The scheme ""Award Scheme for Candidates Selected in NDA, IMA, OTA, INA, IAF"" was introduced by the Higher Education Department, Government of Uttarakhand. This scheme aims to recognize and reward candidates from Uttarakhand who have been selected for service at premier defence academies such as NDA, IMA, OTA, INA, and IAF and are either undergoing training or have been formally inducted into service. Under this scheme, a one-time award of Rs50,000/- is given to each eligible candidate in recognition of their achievement and contribution to national service.","One-time grant of Rs50,000/- per candidate. Note:The amount is disbursed every 6 months post-verification by the department. ","The applicant should be a permanent resident of Uttarakhand.The candidate should have been selected for service at one of the premier defence academies, such as National Defence Academy (NDA), Indian Military Academy (IMA), Officers Training Academy (OTA), Indian Naval Academy (INA) or Indian Air Force (IAF). The applicant should either be currently undergoing training at the respective academy or have been formally inducted into the defence service.The award is given only once under this scheme.","OfflineStep 1: The applicant should apply after being selected for service and completing the training. Step 2: The eligible applicant should visit (during office hours) the Directorate of Higher Education, Haldwani, and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications.ORThe interested applicant downloads the application form from the official website. Step 3: In the application form, fill in all the mandatory fields and attach copies of all the mandatory documents (self-attested, if required).Step 4: Submit the duly filled and signed application form along with the documents to the Directorate of Higher Education, Haldwani.Note: Upon primary verification at the departmental level and post-approval, the amount is disbursed within six months.",Aadhaar CardPAN CardBank Account details/PassbookDomicile CertificateAppointment LetterTraining Completion CertificateProof of Joining after TrainingSelf-declaration (stating that the benefit has not been claimed earlier under this scheme),"Award Scheme for Candidates Selected in NDA, IMA, OTA, INA, IAF, ascs, Armed Forces Examination, Award, Financial Assistance, IAF, IMA, INA, NDA, OTA, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atma Nirbhar Plantation Yojana,https://www.myscheme.gov.in/schemes/anpyap,Arunachal Pradesh,,"The scheme ""Atma Nirbhar Plantation Yojana (ANPY)"" was launched by the Department of Agriculture, Government of Arunachal Pradesh, aims to promote self-reliance in the agriculture sector through sustainable plantation activities across the state's diverse agro-climatic zones. Under this scheme, support in the form of plantation assistance and allied resources is provided to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organizations (FPOs).","Access to plantation support including technical guidance, planting material, and financial assistance.","The Scheme can be applied by individual farmers as well as Self-Help Groups (SHGs)/ Farmers Producer Organizations (FPOs).Eligibility Criteria for Individual FarmersThe applicant should be a native of Arunachal Pradesh.The applicant should be an individual farmer. The applicant should have landholding between 0.50 hectares and 25 hectares.The applicant should not be a bank defaulter.The applicant should not be a government servant.Eligibility Criteria for Self-Help Groups (SHGs)The applicant should be a Self-Help Group (SHG) based in Arunachal Pradesh. The SHG should have a minimum of 1.0 hectare and up to 50 hectares of land.The SHG should not be a bank defaulter.An already existing SHGs prior to involvement of SrLM shall be considered.SHGs formed for small-scale industries such as weaving, knitting, tailoring, and other similar businesses shall not be entertained or considered eligible.Note: The SHGs formed especially for Agri- sector shall be given priority.Eligibility Criteria for Farmers Producer Organizations (FPOs)The Farmer Producer Organization (FPO) should be registered in Arunachal Pradesh. The FPO should have a minimum of 5 hectares and a maximum of 50 hectares of land.The FPO should have at least 100 shareholders.The FPO should submit at least one audited Balance Sheet.All board members and shareholders of FPO should be non-defaulters to any bank/financial institution.All types of FPOs engaged in agriculture business will get benefit from this programme.","OnlineOfflineInterested and eligible students need to apply online on the Atma Nirbhar Yojana portal. New User RegistrationSelect the ""Login"" option.Subsequently, click on the ""Register Here"" link.Complete the registration form with the requisite details, including your name, Aadhaar card number, email ID, and mobile number.Establish a password for your account.Upon successful registration, the applicant will receive a User ID and password.Login & Application Process:Log in using the provided User ID and password to access the application form.Fill in the complete application form.Upload the required documents, including a photograph, caste certificate, residential certificate, and land ownership proof, etc.Submit the application form.",Passport-size PhotographAadhaar CardPAN CardST CertificateDomicile Certificate/Permanent Resident Certificate (PRC)SHG/FPO Document Proof of Land Ownership Document (LPC/ any Land Documents duly Certified by HGB/GB/PRI and countersigned by the local administration)Certified Copy of the Sketch MapPhotocopy of 1st page of Bank Passbook One audited Balance Sheet (For FPO)Any Other Document if Required,"Atma Nirbhar Plantation Yojana, anpyap, Subsidy, Farmer, SHGs, FPO, Loan, Plantation, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,True,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
Maulana Azad Education Finance Foundation Scheme,https://www.myscheme.gov.in/schemes/maeffs,Uttarakhand,,"""Maulana Azad Education Finance Foundation Scheme"" is a social security scheme by the Minority Welfare Department, Government of Uttarakhand. The scheme aims to provide interest-free loans for higher education and overseas studies to the minority students.","Interest-free loans of up to Rs5,00,000/- for pursuing higher education and studies abroadNote: The beneficiary will have to repay the loan in the next 3 years after completing 6 months of education/ service.","Beneficiary should be a permanent resident of Uttarakhand.Beneficiary should belong to the minority community.The age of the beneficiary should be between 18-35 years of age.Beneficiary should have passed Higher Secondary (12th Class).The University/College/Institution, where the student is studying/ enrolled, should be recognized by the Central/ State Government or any other competent authority.The income of the beneficiary's family from all sources should not exceed Rs2,50,000/-.","OfflineStep 1: Applicants should visit their nearest District Office or office of the Minorities Welfare Officer and collect application form.Step 2:  Fill the form properly and attach all the documents (attested,if required).Step 3: Submit the form latest by 31st August of the concerned year at the District Office or the office of the Minorities Welfare Officer.","For the Applicant:Colour Photograph,Aadhaar Card,Permanent Residence Certificate,Minority Proof  Certificate,Proof of Birth. Marksheet of last year,College/Institution Admission Certificate,Fee structure,College ID,Nationalised Bank Passbook, Affidavit to the effect that the loan scheme is being availed of for the first time.For the 2(two) Guarantors:Salary/Income Certificate,PAN card,Photographs, Aadhaar Card,Ration Card,Status Certificate Report.","Maulana Azad Education Finance Foundation Scheme, maeffs, Higher Education, Loan, Minority Welfare, Overseas Education, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",True,,,,,,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,35.0,250000.0
Mahila Adhikarita Yojana (Gujarat Safai Kamdar Development Corporation),https://www.myscheme.gov.in/schemes/maygskdc,Gujarat,,"""Mahila Adhikarita Yojana"" introduced by the Social Justice and Empowerment Department, Gujarat, is a centrally sponsored financial support scheme targeting women sweepers and their dependents. Under this scheme, eligible beneficiaries are provided a loan of Rs20,000 at a low interest rate of 5%, with a repayment period of 5 years. This initiative aims to empower women engaged in sanitation work by providing them with the financial means to pursue economic activities and improve their quality of life. The scheme is being implemented by the Gujarat Safai Kamdar Development Corporation.","Loan Assistance: An amount of Rs20,000/- at 5% interest rate, with a repayment period of 5 years.",The applicant must be a woman sweeper or a dependent of a woman sweeper.The applicant must be a resident of Gujarat.,"OnlineRegistration Process:Step 1: Go to the  eSamajKalyan portal and navigate to the ""Gujarat Safai Kamdar Development Corporation"" section under the Corporation menu.Step 2: Click on ""Mahila Adhikarita Yojana"" and then Apply Now.Step 3: Click on ""New User? Please Register Here"".Step 4: Enter the required details and click Register.Application Process:Step 1: Enter your User ID, Password, and Captcha Code, then click ""Login"".Step 2: Read the scheme details carefully and click OK.Step 3: If your permanent address is correct, confirm it. Otherwise, enter your correct address.Step 4: Click Save & Next to proceed. Upload the relevant documents.Step 5: If you need to make changes, click ""No, Cancel"". If all details are correct, click ""Yes, Submit"".Step 6: Click Save Application. Note down your Application Number for future reference. You can also take a printout by clicking Print Application.Check Application Status: Click here.",Proof of Residence (any one of Electricity Bill/Licence/Lease Agreement/Electoral Card/Ration Card).Guarantee Sheet.Disability Certificate (If applicable).Specimen of Applicant's Gross Annual Income (Certificate from Competent Authority).Ration Card (to upload both pages with name and number of ration card applicant).Certificate regarding being a sweeper/ dependent of a sweeper.Aadhaar Card.BPL Certificate.Certificate of death of husband.Copy of passbook page showing bank account details or canceled cheque.Election Card.,"Mahila Adhikarita Yojana (Gujarat Safai Kamdar Development Corporation), maygskdc, Loan, Social Welfare, Subsidy, Women Empowerment, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,True,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
