Scheme_Name,URL,State,Ministry,Details,Benefits,Eligibility,Application_Process,Documents_Required,Search_Keywords,is_student,is_disabled,is_female,is_male,is_transgender,is_girl_child,is_sc_st,is_obc,is_bpl,is_farmer,is_unemployed,is_self_employed,is_salaried_employee,is_daily_wage_worker,is_job_seeker,is_worker,is_labour,is_school_student,is_college_student,has_graduated,is_dropout,is_rural_resident,is_urban_resident,is_migrant_worker,is_single_woman,has_large_family,belongs_to_minority,has_bank_account,no_asset_ownership,receives_pension,has_chronic_illness,is_maternal_beneficiary,is_widow,is_senior_citizen,is_orphan,is_child_of_single_parent,is_woman_headed_household,has_disabled_family_member,lives_in_slum,is_homeless,has_no_house,has_pukka_house,has_kutcha_house,is_tribal,belongs_to_fisherfolk,belongs_to_weaver_community,is_ex_serviceman,is_person_with_hiv,is_victim_of_abuse,is_first_generation_learner,has_family_member_in_govt_service,receives_existing_govt_benefits,annual_income,min_age,max_age,max_income
"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",https://www.myscheme.gov.in/schemes/40shydcs,Andhra Pradesh,,"The ""40% subsidy on Hank Yarn, Dyes & Chemicals Scheme"" is a Subsidy Scheme by the Department of Handlooms & Textiles, Government of Andhra Pradesh. The entire assistance under the scheme will be in the form of Grant from the State Government. The scheme is operative from 29th April 2011. The subsidy will be available only on purchases / procurements from NHDC & APCO. The amount sanctioned will be credited directly to the members bank account of the concerned primary weavers cooperative societies.","40% subsidy on the purchases / procurements of Hank Yarn, Dyes & Chemicals from NHDC & APCO.The 75% amount will be credited directly to the members bank account of the concerned primary weavers cooperative societies as production bonus basing on the wages earned by them.The remaining 25% amount may be utilized by the societies for giving rebate on sales or any other production related purpose.","The subsidy will be available only on purchase / procurement of yarn from NHDC, Yarn Deports sanctioned by NHDC and APCO for self-consumption of Handloom Weaver Cooperative Societies for providing work to weaver members.The subsidy will be allowed only on the Hank yarn purchased from the APCO & NHDC and its depots and utilized for the production on Societies, account during the quarter.The claims for subsidy shall be submitted by the Weavers Cooperative Societies in the prescribed proforma on quarterly basis during the financial year with in 15 days from the end of the respective quarter.The claims for subsidy in complete shape should reach Head Office with in 30 days from the end of the Quarter.NOTE 1: The Weavers Coop Societies shall NOT claim any subsidy on the Yarn, Dyes and Chemicals purchased from private yarn dealers, Mills etc.NOTE 2: The Weavers Coop. Societies should NOT claim any subsidy on Yarn, Dyes & Chemicals even if purchased from APCO or NHDC, but not utilized for production of cloth by way of issue of yarn and sold to non-members. ","OfflineApplication:Step 1: The claims for subsidy shall be submitted by the Weavers Cooperative Societies to the Assistant Director (H&T) in the prescribed proforma on quarterly basis during the financial year within 15 days from the end of the respective quarter.Step 2: The AD(H&T) after scrutiny shall recommend the claims with in next 15 days.Step 3: All claims in complete shape should reach Head Office with in 30 days from the end of the Quarter.NOTE: Appropriate cut will be imposed on bleated claims.Disbursal of the Subsidy:The amount sanctioned as 40% Yarn subsidy, 75% amount will be credited directly to the members bank account of the concerned primary Weavers Cooperative Societies as production bonus basing on the wages earned by them.The societies may utilize the remaining 25% amount for giving rebate on sales or any other production related purpose with effect from 1st Dec 2016.","Certification that subsidy has been claimed only on the Hank Yarn and Dyes & Chemicals supplied to the members and utilized for production on Societies account from out of the Yarn and Dyes & Chemicals purchased from the NHDC and APCO.Photocopies of invoices/receipts of hank yarn and Dyes & Chemicals purchased/procured from NHDC, its depots and APCO.The abstract duly attested by the concerned Assistant Director (H&T).Registers, Stock Register, Cash Book and other relevant records as required by the Assistant Director (H&T).","40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme, 40shydcs, Handloom, Subsidy, Weaver, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
Assam Abhinandan Education Loan Subsidy Scheme,https://www.myscheme.gov.in/schemes/aaelss,Assam,,"""Assam Abhinandan Education Loan Subsidy Scheme"" was launched on 26 December 2019 by the Hon'ble Chief Minister of Assam. The scheme is managed by the Finance Department, Govt. of Assam. The govt. will provide a loan subsidy of up to Rs 50,000 on education loans to students pursuing higher education. This scheme would cover all commercial banks like the Federal Bank and HDFC and also the regional rural banks like Assam Gramin Vikash Bank within Assam. The objective of this scheme is to encourage students to pursue higher studies by providing subsidies on education loans. The applicant students can apply for the subsidy by paying 25% of their loans. Only the students who are permanent residents of the state of Assam can apply to this scheme.","The govt. will provide a loan subsidy of up to Rs 50,000/- per student.","The applicant student should be a permanent resident of Assam.The Education Loan should have been availed from any Scheduled Commercial Bank or Regional Rural Bank within the state recognized by the Reserve Bank of India.The education loan should be a minimum of Rs 1,00,000.","OnlineStep 1: Visit the official website. Navigate to the ""Click here for Loan Subsidy"" section.Step 2: Click ""Assam Abhinandan (Education Loan Subsidy Scheme)"". You will be taken to ""Application for Release for Subsidy"". Fill in all the mandatory details: Applicant Name, Father's Name, Date Of Birth, Address, Mobile Number, PAN Card Details, and Bank Details.Upload the Supporting Documents: Loan Proof (Loan Sanction Letter, Loan Account Passbook, Statement of Loan), Address Proof, and PAN Card.Step 3: Check the Declaration, and click ""Save"".Check Application Status:Step 1: Visit the official website. At the bottom right of the page, in the ""Application Tracking"" section, click ""Track"".Step 2: On the next page, provide your Mobile Number, and Loan Account Number or Application Number, and click ""Submit"".",Passport Sized Photograph of the StudentStudent's Aadhaar CardProof of Identity of the ParentsBank Loan DocumentsProof of AddressResidential/Domicile CertificateMarksheets / Passing Certificate of the Previous Educational QualificationPAN CardBank Details,"Assam Abhinandan Education Loan Subsidy Scheme, aaelss, Education, Loan, Student, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atal Awasiya Vidyala Yojana,https://www.myscheme.gov.in/schemes/aavy,Uttar Pradesh,,"The Atal Awasiya Vidyalaya Yojana is an initiative launched by the Uttar Pradesh government to provide free education to children of construction workers employed in the informal sector. Under this scheme, two children of registered workers between the ages of 6 and 16 receive free residential education in dedicated schools.The UP Atal Awasiya Vidyalaya Yojana is a scheme that provides free education to poor children of construction workers in Uttar Pradesh. The scheme is currently being implemented in 18 districts of the state. The goal of the scheme is to provide these children with the opportunity to succeed in life and improve their standard of living","Free education, accommodation, and mealsMedical facilitiesSports and recreational activitiesAccess to a nurturing environment that fosters personal growth","Children destitute during the Corona period, identified by the Women Welfare Department, Lucknow.Children for the Chief Minister Child Service Scheme (General) are eligible.Orphan children and offspring of duly registered construction workers, who have completed at least 01 year (365 days) membership period of the board after registration.A maximum of 02 children per registered worker can avail educational benefits.",OfflineHow to get register and apply for the schemeApplicant must visit the below officesNearest labor office.Tehsildar of the concerned tehsil.Block Development Officer of the concerned development block.Get the application form and fill out the completely.Attach required documents in the prescribed format.Submit the application form in the same office.,Parents' Labor Registration cards.Child birth certificateMark sheet of previous class attended.Medical certificate (if required).Passport size photograph.,"Atal Awasiya Vidyala Yojana, aavy, Free Education, Labor Community, Life Skill Education, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
Antheyesthi Anudan Yojana,https://www.myscheme.gov.in/schemes/aayr,Rajasthan,,"The ""Antheyesthi Anudan Yojana"" was launched by the Social Justice and Empowerment Department, Government of Rajasthan, aims to provide financial assistance for the dignified last rites of unclaimed and destitute deceased individuals. Under the scheme, voluntary organizations/NGOs that carry out the last rites (cremation) of any unclaimed or destitute person will be provided with an amount of Rs5,000/- for making the necessary arrangements and materials for the cremation.Objectives:The objective of this scheme is to provide financial assistance to voluntary organizations that perform the last rites (cremation) of any unclaimed or destitute person of any age/caste/class who has died either naturally or due to an accident within the state's jurisdiction.","A one-time grant of Rs5,000 is provided to voluntary organizations for conducting the last rites of unclaimed or destitute deceased individuals.","The applicant should be a voluntary organization recognized by the state government.The voluntary organization should be registered under the Societies Act.The voluntary organization should be actively working in the welfare of destitute and helpless individuals or have prior experience in this field.The financial condition of the voluntary organization should be strong.The voluntary organization should not have been penalized or blacklisted in the past for any reason.The deceased should be identified as unclaimed or destitute, with no known family or relatives to perform the last rites.The death should have occurred within the jurisdiction of Rajasthan.The organization should agree to conduct the last rites of the unclaimed or destitute deceased immediately at its own level with full legal procedure and to receive reimbursement of the amount fixed under this scheme from the State Government.","OfflineStep 1: The interested applicant downloaded the application form (Appendix-A) from the official website. Step 2: In the application form, fill in all the mandatory fields and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents to the Social Justice and Empowerment Department or the designated local office responsible for the scheme. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission and a unique identification number (if applicable).Reporting the Death: Upon discovering an unclaimed or destitute deceased individual, the voluntary organization should immediately report the death to the local authorities or police station.Verification:The local police or competent authority will verify the status of the deceased as unclaimed or destitute.","Photo of the DeceasedDeath Certificate of the DeceasedUnclaimed Body Report (issued by the local police or competent authority of the concerned police station/police)Destitute Certificate (issued by the Village Secretary/Sarpanch/Councilor/Officer of Municipality, Municipal Council, Municipal Corporation)Organization's Registration Certificate (issued by the recognition by the state government)Affidavit of the office bearer of the organization conducting the cremation and certificate of being unclaimed or destitute.Any other documents as required","Antheyesthi Anudan Yojana, aayr, Deceased, Destitute, Financial Assistance, Funeral, Last Rites, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accidental Death Assistance Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/adasgbocwwb,Gujarat,,"The ""Accidental Death Assistance Scheme"" is implemented by the Gujarat Building and Other Construction Worker's Welfare Board (GBOCWWB), Labour, Skill Development & Employment Department, Government of Gujarat. Under this scheme, financial assistance shall be provided to the legal heirs of the deceased construction workers, registered or unregistered with the Board, in case of accidental death or permanent disability during ongoing work at the construction site.","Under the scheme, financial assistance of Rs3,00,000/- shall be given to the legal heirs of the deceased construction workers.","The applicant should be a legal heir of the deceased worker.The deceased worker should have been engaged in any building or other construction work.The financial assistance shall be provided to the legal heirs of construction workers, whether registered or unregistered with the Board, in the event of accidental death or permanent disability occurring during ongoing work at the construction site.","OnlineApplication Process for Scheme Benefit:Step 01: The applicant may visit the Sanman Portal: https://sanman.gujarat.gov.in/Step 02: On the home page, under the tab 'Citizen Login', click on 'Please Register Here'.Step 03: Enter the Aadhaar Card Number of Shram Yogi and select the user type.Step 04: Now, fill in the heir's details & click on 'Create'.Step 05: After successful registration, the applicants can login through their User ID and Password.Step 06: Now, select the scheme and read the rules carefully for the selected scheme.Step 07: Fill out the application form and upload all the relevant documents.Step 08: Agree with the Rules & Regulations and submit the application form. A confirmation email with the application Number will be sent to the registered email ID.",Documents required for Accidental Death Assistance:Identity proof of the deceased workerIdentity proof of heirCopy of death certificateCopy of Police Panchnama/FIRCopy of post-mortem reportCopy of Firm Name of Talati/Mamlatdar/Executive MagistrateCopy of affidavitConsent FormBank details of the applicantAny other documents as requiredDocuments required for Permanent Disability Assistance:Identity proof of the employeeCivil Surgeon's CertificateCopy of affidavitBank details of the applicantAny other documents as required,"Accidental Death Assistance Scheme (GBOCWWB), adasgbocwwb, Accidental Death, Building Worker, Construction Worker, Financial Assistance, Heir, Permanent Disability, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,True,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assistance On Death Of The Unregistered Worker (HBOCWWB),https://www.myscheme.gov.in/schemes/aduw-hbocwwb,Haryana,,"The scheme ""Assistance on Death of the Unregistered Worker (HBOCWWB)"" was launched by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana. Under the scheme, financial assistance of Rs2,50,000/- is provided by the Board to the legal heir/dependent family member of an unregistered worker who dies in an accident at the workplace.","Financial assistance of Rs2,50,000/- is provided by the Board to the legal heir/dependent family member of an unregistered worker who dies in an accident at the workplace.",The applicant should be a legal heir/dependent family member of an unregistered worker who dies in an accident at the workplace.The applicant should have a copy of the FIR in regard to the accident.The applicant should have a post-mortem report of the death of an unregistered worker.The applicant should have the certificate of being nominated/legal heir of the unregistered worker.,"OnlineRegistration Process on Antyodaya-SARAL Portal:Step 01: To avail of the benefits of the scheme, the applicant need to visit Official Portal -Antyodaya-SARAL PortalStep 02: If the applicant is not registered on the portal, then he/she gets registered on the portal. Step 03: For registration, click on ""New User/Register Here"" and fill in all the mandatory details i.e. Name, Email ID, Mobile Number & password. Click on 'Submit'.Step 04: Applicants will receive the login ID on their mobile number.Login to Apply for the Scheme:Step 01: Visit the Official Portal -Antyodaya-SARAL PortalStep 02: The ""Sign in here"" option is available on the right side of the screen. Applicant needs to fill in their credentials and click on the 'Login' button.Step 03: In the opened window, click on ""Scheme/Services list"" and a list of schemes will appear on the screen.Step 04: Now, select the scheme and click on ""Apply for Service/Scheme"".Step 05: Fill in all the details asked in the online application form and submit the application form.",Identity proof i.e. Aadhaar CardPassport-size photographResident Proof/Address ProofRation CardBank account detailsCopy of FIR in regard to the accident.Copy of post-mortem reportDeath certificateRecommendation report of the concerned officer after an investigationCertificate of being nominated/legal heirCopy of the employer's statement related to the accident has to be attached,"Assistance On Death Of The Unregistered Worker (HBOCWWB), aduw-hbocwwb, Accident, Construction Worker, Death, Dependent Family Member, Financial Assistance, Unregistered Worker, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allowance To Eunuchs Scheme,https://www.myscheme.gov.in/schemes/aes,Haryana,,"The scheme ""Allowance to Eunuchs Scheme"" was launched by the Department of Social Justice and Empowerment, Government of Haryana on 1st June 2006. Under the scheme, the state government provides financial assistance to eunuchs who are living in various parts of the State.       The allowance was initially given Rs300/- per month. The rate of allowance was Rs1400/- per month per beneficiary w.e.f. 01.01.2016, Rs1600/- w.e.f. 01.11.2016, Rs1800/- w.e.f. 01.11.2017, Rs2000/- w.e.f. 01.11.2018, Rs 2250/- w.e.f. 01.01.2020, Rs2500/- w.e.f. 01.04.2021 and Rs 2750/- w.e.f. 01.04.2023.",1. The financial assistance of Rs2750/- will be given by the state government to eunuchs who are living in various parts of the State.Note: If a Eunuch attains the age of 60 years his case will be transferred to Old Age Allowance Scheme.,The applicant should be a permanent resident/domicile of Haryana State and has been residing in Haryana State for the last 5 years at the time of submission of the application.The age of the applicant should not be less than 18 years.The applicant must give a certificate from the Civil Surgeon in support of being an Eunuch.The applicant should not be involved in any unlawful activity.,"OfflineOnlineStep 01: The applicant needs to visit the office of the Social Welfare Department (DSWO) in his/her Block/District and collect the application form. The application form can also be downloaded from the Official Website of the Department.Step 02: The applicant should fill out the application form and attach all the essential documents.Step 03: After filling out the application form, the applicant needs to get attested to the form from the concerned authority as mentioned in the application form.Step 04: Then the application form should be submitted to the office of the Social Welfare Department (DSWO) of your Block/District.","1.	Age Proof2.	Residential Proof (Any one of the following self-attested documents issued prior to 5 years)*	Ration Card (issued by Food & Supplies Department, Haryana)*	Voter Card (issued by Election Department, Haryana)*	Voter list which shows name of the applicant along with his/her Photograph (issued by Election Department, Haryana)*	In Case, none of the above documents is available, the applicant will give self-declaration along with any other documentary proof which will be verified by the District Social Welfare Officer.3.	Aadhaar Card4.	Saving Bank account detail of the applicant with a photocopy of the passbook.5.	Passport size photographs6.	Medical certificate from Civil Surgeon in support of being a eunuch.","Allowance To Eunuchs Scheme, aes, Allowance, Eunuchs, Financial Assistance, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
Amar Fasal Amar Gola,https://www.myscheme.gov.in/schemes/afag,West Bengal,,"The West Bengal Government had announced a pilot project to provide financial assistance to marginal farmers of the State so that they can have their own storehouses and vending carts. A subsidy varying between Rs. 5,000 and Rs. 25,000 will be provided for the warehouses. Though there are 24 lakh small and marginal farmers in the State, only around 10,000 such farmers would be covered initially under two schemes. Chief Minister Mamata Banerjee has named the schemes as Amar Fasal, Amar Gola (My Crop, My Storehouse) and Amar Fasal Amar Gari (My crop, my vehicle). In the case of the AmarFasal Amar Gari project, the rate of subsidy would be Rs. 10,000 flat. This project will facilitate those farmers who wish to directly sell their products to end users. The subsidies would be directly credited to the bank accounts of those farmers who own Kisan Credit Cards. ","The ""Amar Fasal Amar Gola"" scheme in West Bengal is aimed at providing financial assistance to farmers to help them purchase seeds, fertilizers, and other inputs needed for agriculture. The benefits of this scheme can be expected to include:Improved crop quality: By providing farmers with access to high-quality seeds and fertilizers, the scheme may help improve the quality of their crops, leading to better yields and higher income.Increased agricultural productivity: The scheme may help farmers increase the productivity of their land by providing them with the resources they need to maintain and improve it.Reduced financial burden: By providing financial assistance to farmers, the scheme may help reduce the financial burden associated with purchasing seeds, fertilizers, and other inputs, making it easier for them to invest in their farms.Increased profitability: By improving the quality and yield of their crops, farmers who participate in the scheme may be able to increase their profitability, which could lead to an overall improvement in their standard of living.","The eligibility criteria for the ""Amar Fasal Amar Gola"" scheme in West Bengal may vary depending on the specific implementation of the scheme by the state government. However, some of the common eligibility criteria for such schemes include:Residency: Farmers may be required to be residents of the state of West Bengal in order to be eligible for the scheme.Agricultural land ownership: Farmers may be required to own agricultural land in the state in order to be eligible for the scheme.Type of crop: The scheme may only be available for certain types of crops, such as food crops or cash crops.Size of landholding: The scheme may have specific requirements for the size of the landholding in order to be eligible for financial assistance.Previous participation: The scheme may have conditions regarding previous participation in other agricultural schemes.Income criteria: Farmers may be required to meet certain income criteria in order to be eligible for the scheme.It is recommended to contact the relevant authorities in the state of West Bengal, such as the Department of Agriculture or the Ministry of Agriculture, for a complete and up-to-date list of the eligibility criteria for the ""Amar Fasal Amar Gola"" scheme.","OfflineThe process of applying for the ""Amar Fasal Amar Gola"" scheme in West Bengal may vary depending on the specific implementation of the scheme by the state government. However, here are some general steps that may be involved in the application process:Eligibility check: Check if you meet the eligibility criteria for the scheme, such as residency, land ownership, type of crop, size of landholding, income criteria, etc.Obtain required documents: Gather the required documents, such as proof of residency, proof of land ownership, income statements, etc.Submit an application: Submit a completed application form, along with all the required documents, to the relevant authorities in the state of West Bengal, such as the Department of Agriculture or the Ministry of Agriculture.Review and approval: The authorities will review your application and supporting documents to determine if you are eligible for the scheme. If your application is approved, you will receive a notification of approval and instructions on how to proceed with the next steps.It is recommended to check the official website of the state government of West Bengal or contact the relevant authorities directly for the most up-to-date information on the application process for the ""Amar Fasal Amar Gola"" scheme.Application Process: 1. Application forms to be collected from Panchayat office or Block office.2. Candidates to fill all the details to complete the form and attach all required documents as specified3. Submit application form with required documents in Panchayat office or Block office.Note: The exact application process may vary, so it is advisable to check with the relevant authorities for the most accurate information.",1. Proof and details of land holding2. Aadhar Card3. Voter ID Card4. Ration Card5. Passport Size Photo6. Residential Certificate7. Kisan Credit Card8. Bank Account Details linked with Kisan Credit Card,"Amar Fasal Amar Gola, afag, , myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Assist the Farmers for Construction of Community Base Water Tank/Storage Structure for Efficient Use of Water Through Drip Irrigation,https://www.myscheme.gov.in/schemes/afccdwt,Gujarat,,"The scheme ""To Assist the Farmers for Construction of Community Base Water Tank/Storage Structure for Efficient Use of Water Through Drip Irrigation"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to support farmers in protecting their crops from losses due to irregular rainfall and increasing the state's irrigated area. By constructing water tanks, farmers can optimize water usage, enhance irrigation efficiency, and boost agricultural production.","Name of the ComponentStandard of AssistanceMinimum Time Limit (in Years) for Reclaiming  BenefitsWater Tank50% of the cost or Rs9,80,000/- whichever is lessOnce in a lifetime","For Individual Farmers:The applicant must be a farmer. The applicant must belong to the Gujarat state.The water tank must be constructed on the applicant's own farmland.The farmer must have adopted the Micro Irrigation System (MIS).The farmer must cover at least one hectare of land per 75 cubic meters of water tank under MIS.For Group of Farmers:The group must consist of two or more farmers.The group must belong to the Gujarat state.The group must select one farmer as the leader, who will submit the application on behalf of the group.The water tank must be constructed on the land of one of the farmers in the group.Each member of the group must have adopted the Micro Irrigation System (MIS).The group must cover at least one hectare of land per 75 cubic meters of water tank under MIS.Note:No separate registration is required for the group; they only need to submit a mutual consent certificate.The benefit is available only once in a lifetime (For both Individual and Group of Farmers).","OnlineStep 1: The applicant may visit and apply online at I-Khedut Portal: https://ikhedut.gujarat.gov.in/Step 2: On the home page, click on 'Schemes' and then click on 'Agricultural Schemes'.Step 3: Now select the scheme, click on the 'Apply' button and an application page will open.Step 4: Click on ""Apply New"" button and submit a new application.Step 5: Click on the ""Update Application"" button to add corrections to the application.Step 6: Once the application is done, confirm it.Step 7: Take a print out of the confirmed application.Step 8: Applicant can also check their Application Status/View/Print/Upload Application details from the below link: https://ikhedut.gujarat.gov.in/public/frm_Applicant_Corner.aspx Note: Application will be accepted on the principle of first come, first serve bases within the target limits.Contact Us: Click here.",Aadhaar Card.Land ownership documents.Bank passbook copy.Micro Irrigation System (MIS) adoption proof.Certificate of group formation (if applying as a group).Any other document if required.,"To Assist the Farmers for Construction of Community Base Water Tank/Storage Structure for Efficient Use of Water Through Drip Irrigation, afccdwt, Agriculture, Community Base Water Tank, Farmer, Water Resources, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assistance for Quality Enhancement,https://www.myscheme.gov.in/schemes/afqe,Rajasthan,,"The ""Assistance for Quality Enhancement"" scheme was started under Rajasthan MSME Policy 2024 by the Department of Industries & Commerce, Government of Rajasthan. The scheme envisages to support Micro and Small enterprises in state to improve the quality of their products and processes through assistance towards the cost incurred for quality certification as well as other system certifications and Intellectual Property Right. This scheme will remain in force until 31st March 2029. Scheme ImplementationThis scheme component is implemented through the respective District Industries & Commerce Centers (DICCs) in their districts under the aegis of the Department of Industries & Commerce. Office of the Commissioner, Industries & Commerce will be the nodal agency for the implementation and supervision of the scheme at the state level. ","One-Time Financial Assistance:Reimbursement of up to 50% of the total cost incurred for obtaining quality certifications (e.g., BIS, FSSAI), system certifications (e.g., ISO, ZED), and Intellectual Property Rights (IPRs), subject to a maximum of Rs3,00,000/- per unit.Note: Micro and Small Enterprises may acquire such certifications from any government agency or an agency authorized by the Government of India or the Government of Rajasthan.Costs Covered:Documentation and consultation feesTesting and calibration chargesAccreditation, license, and application feesMode of Disbursement:The approved amount is directly transferred to the applicant's authorized bank account.","All Micro and Small Enterprises existing anywhere in Rajasthan will be required to comply with the following conditions to avail benefits under the scheme:The enterprise will be required to have Udyam Registration Certificate (URC) as per MSME Development Act 2006.The enterprise should apply for the one-time reimbursement within 12 months of obtaining the quality certification/(s).Cost of certification will include documentation, testing, accreditation fee, consultation fee, and calibration charges (till the enterprise obtain the certificate), application fee, license fee and other relevant fees.Certification should be related to the product or process of the enterprise.The enterprise should be in commercial production at the time of disbursement and the assistance shall not be released to the closed unit.One MSME enterprise can apply only once under the scheme.","OfflineApplication Process:Step 1: The interested applicant downloads the application form (Annexure 4.1) from the official website. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents to the respective General Manager, District Industries & Commerce Centre (DICC).Verification Process:Step 1: The District Level Task Force Committee (DLTFC) will review and approve, partially approve, or reject the application.Step 2: Upon approval, an approval letter will be issued by the GM, DICC.Step 3: The sanctioned assistance will be disbursed to the applicant's authorized bank account.","Copy of Udyam Registration CertificateCertificate of Incorporation/Partnership Deed/Firm Registration (as applicable)Board Resolution or Power of Attorney in the name of Authorized SignatoryCopy of Certification/IPR and other related documentsBills of Eligible Expenses and Proof of PaymentProof of Regular Commercial Production (e.g., Recent Sale Bill)Bank Account Details (Cancelled Cheque) and PAN CardUndertaking/Declaration on Non-Judicial Stamp Paper (Annexure 4.2)CA-Certified Statement of Expenditure (Annexure 4.3)","Assistance for Quality Enhancement, afqe, Intellectual Property, Micro Enterprises, Quality Certification, Quality Enhancement, Reimbursement, Small Enterprises, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
